-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1990 through 03/31/2020 
Location: Latitude  34.6078   Longitude 43.6908 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 140.22 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS10M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 10 Meters (m/s) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
WS10M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 10 Meters (m/s) 
KT SRB/FLASHFlux 1/2x1/2 Insolation Clearness Index (dimensionless) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,T2M_MAX,T2M_MIN,T2M,WS10M,ALLSKY_SFC_LW_DWN,TS,WS10M_MIN,WS10M_MAX,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
34.60781,43.69081,1990,01,01,   68.60,   14.23,    6.78,    9.58,    3.81,              7.22,    8.96,    1.24,    6.51,              0.33,              3.32,              1.57
34.60781,43.69081,1990,01,02,   68.97,   12.88,    2.29,    8.05,    1.40,              7.54,    6.92,    0.49,    2.75,              0.41,              3.40,              1.98
34.60781,43.69081,1990,01,03,   72.33,   14.22,    4.89,    9.24,    3.93,              8.11,    9.16,    1.01,    7.66,              0.43,              3.37,              2.09
34.60781,43.69081,1990,01,04,   87.55,   13.67,    6.10,    9.78,    5.24,              7.61,    9.61,    1.99,    7.85,              0.29,              3.32,              1.42
34.60781,43.69081,1990,01,05,   80.38,   15.18,    4.83,    9.36,    3.45,              7.67,    9.79,    0.94,    5.69,              0.47,              3.41,              2.28
34.60781,43.69081,1990,01,06,   67.40,   13.69,    3.09,    8.32,    3.60,              7.11,    8.43,    2.57,    5.48,              0.51,              3.43,              2.48
34.60781,43.69081,1990,01,07,   54.29,   12.62,    0.67,    5.40,    3.56,              6.75,    5.29,    2.36,    4.89,              0.56,              3.57,              2.76
34.60781,43.69081,1990,01,08,   51.00,   11.87,   -0.75,    3.86,    3.59,              5.92,    3.58,    2.68,    4.54,              0.73,              3.58,              3.58
34.60781,43.69081,1990,01,09,   46.75,   11.14,   -0.50,    3.58,    2.27,              5.86,    2.41,    0.56,    3.57,              0.73,              3.61,              3.59
34.60781,43.69081,1990,01,10,   61.19,   11.32,   -2.36,    2.93,    2.69,              6.23,    2.96,    0.92,    3.45,              0.71,              3.75,              3.52
34.60781,43.69081,1990,01,11,   52.23,    9.25,   -3.32,    1.74,    3.54,              5.67,    1.72,    2.74,    4.28,              0.74,              3.71,              3.69
34.60781,43.69081,1990,01,12,   56.39,   10.52,   -3.25,    2.28,    3.10,              5.82,    2.29,    2.00,    3.74,              0.74,              3.73,              3.71
